"Label","Type","Tags","Description","Data de início","Fonte da informação","Fonte da informação-URL"
"RBAC 135 EMD 11","Rules","RBAC","Operações de transporte aéreo público com aviões com configuração máxima certificada de assentos para passageiros de até 19 assentos e capacidade máxima de carga paga de até 3.400 kg (7.500 lb), ou helicópteros.","09/03/2021","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbac/rbac-135-emd-11@@download/arquivo_norma/RBAC135EMD11.pdf"
"RBAC 43 EMD 04","Rules","RBAC","Manutenção, manutenção preventiva, reconstrução e alteração.","02/08/2019","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbac/rbac-43@@download/arquivo_norma/RBAC43EMD04.pdf, https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbac/rbac-43@@download/anexo_norma/CEF RBAC nº 43.pdf"
"RBAC 36","Rules","RBAC","Requisitos de ruído para aeronave.","08/04/2021","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbac/rbac-36@@download/arquivo_norma/RBAC36EMD31.pdf"
"RBAC-E 94 EMD 01","Rules","RBAC","Requisitos gerais para aeronaves não tripuladas de uso civil","01/06/2021","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbac/rbac-e-94-emd-01@@download/arquivo_norma/RBACE94EMD01.pdf, https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbac/rbac-e-94-emd-01@@download/anexo_norma/CEF RBAC-E 94.pdf"
"RBAC 21 EMD 08","Rules","RBAC","Certificação de Produto e Artigo Aeronáuticos.","14/06/2021","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbac/rbac-21-emd-08@@download/arquivo_norma/RBAC21EMD08.pdf, https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbac/rbac-21-emd-08@@download/anexo_norma/CEF RBAC 21.pdf"
"RBAC 26 EMD 03","Rules","RBAC","Aeronavegabilidade continuada e melhorias na segurança para aviões categoria transporte.","14/06/2021","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbac/rbac-26-emd-03@@download/arquivo_norma/RBAC26EMD03.pdf"
"RBAC 91 EMD 03","Rules","RBAC","Requisitos gerais de operação para aeronaves civis.","14/06/2021","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbac/rbac-91-emd-03@@download/arquivo_norma/RBAC91EMD03.pdf"
"RBAC 121 EMD 14","Rules","RBAC","Operações de transporte aéreo público com aviões com configuração máxima certificada de assentos para passageiros de mais 19 assentos ou capacidade máxima de carga paga acima de 3.400 kg.","14/06/2021","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbac/rbac-121-emd-14@@download/arquivo_norma/RBAC121EMD14.pdf"
"RBAC 154 EMD 07","Rules","RBAC","Projeto de Aeródromos.","16/06/2021","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbac/rbac-154-emd-07@@download/arquivo_norma/RBAC154EMD07.pdf, https://www.anac.gov.br/assuntos/legislacao/legislacao-1/rbha-e-rbac/rbac/rbac-154-emd-07@@download/anexo_norma/Perguntas e Respostas  RBAC nº 154  Emenda nº 07.pdf"
"IS 145-002B","Rules","IS","Certificação de organização de manutenção estrangeira.","15/04/2016","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-145-002b@@download/arquivo_norma/IS145-002Bp.pdf"
"IS 67-003C","Rules","IS","Procedimentos para preenchimento online dos dados do Certificado Médico Aeronáutico no Sistema de Aviação Civil.","22/04/2016","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-67-003@@download/arquivo_norma/IS67-003C.pdf"
"IS 118-001A","Rules","IS","Lista de equipamentos e acessórios de aeronave considerados não essenciais","10/06/2016","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-118-001@@download/arquivo_norma/IS118-001A - SAR.pdf"
"IS 145-002B","Rules","IS","Certification of Foreign Maintenance Organization","15/04/2016","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-145-002@@download/arquivo_norma/IS145-002B - Inglês.pdf"
"IS 91-004B","Rules","IS","Instruções e procedimentos para autorização de operações de aproximação de precisão ILS categorias II e III por operadores aéreos regidos pelo RBHA 91.","15/07/2016","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-004@@download/arquivo_norma/IS 91-004 Revisão B.pdf"
"IS 153.103-001A","Rules","IS","Orientações para aplicação do método ACN-PCN.","12/08/2016","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-153-103-001@@download/arquivo_norma/IS153.103-001A.pdf"
"IS 153.205-001B","Rules","IS","Monitoramento da irregularidade longitudinal, atrito e macrotextura do pavimento da pista pouso e decolagem.","18/09/2020","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-153-205-001@@download/arquivo_norma/IS153.205-001B.pdf"
"IS 39.19-001A","Rules","IS","Método Alternativo de Cumprimento de uma Diretriz de Aeronavegabilidade.","19/08/2016","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-39-19-001@@download/arquivo_norma/IS39.19-001A.pdf"
"IS 43.9-002B","Rules","IS","Uso e preenchimento do Certificado de Liberação Autorizada (Etiqueta de Aprovação de Aeronavegabilidade).","26/08/2016","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-43-9-002@@download/arquivo_norma/IS43.9-002B.pdf"
"IS 21-013B","Rules","IS","Instruções para obtenção de aprovação de instalação de equipamentos GNSS (Global Navigation Satellite Systems) stand alone para operações VFR e IFR.","16/12/2016","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-21-013@@download/arquivo_norma/IS21-013B.pdf"
"IS 43.1-001A","Rules","IS","Certificação expedita de OM estrangeira não certificada pela ANAC nos termos do parágrafo RBAC 43.1(e)-I.","16/12/2016","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-43.1-001@@download/arquivo_norma/IS43.1-001A.pdf"
"IS 21-010B","Rules","IS","Procedimentos para a aprovação de produtos aeronáu-ticos civis importados. / Procedures for approval of imported civil aeronautical products.","26/04/2013","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-21-010@@download/arquivo_norma/IS21-010B.zip"
"IS 175-007D","Rules","IS","Programa de treinamento de artigos perigosos - PTAP.","17/03/2021","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-175-007@@download/arquivo_norma/IS175-007D.pdf"
"IS 120-002C","Rules","IS","Orientações gerais para a implantação dos programas de prevenção de uso indevido de substâncias psicoativas na aviação civil.","22/12/2017","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-120-002@@download/arquivo_norma/IS120-002C.pdf"
"IS 23-001A","Rules","IS","Execução de Ensaios em Voo para Avaliação de Desempenho de Equipamentos de Comunicação em VHF (VHF-COMM) instalados em Aeronaves certificadas segundo o RBAC 23.","28/04/2017","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-23-001@@download/arquivo_norma/IS 23-001A.pdf"
"IS E94.503-001A","Rules","IS","Emissão de Certificado de Autorização de Voo Experimental para Aeronaves Remotamente Pilotadas","03/05/2017","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-e94-503-001@@download/arquivo_norma/ISE94.503-001A.pdf"
"IS E94-002A","Rules","IS","Autorização de Projeto de Sistema de Aeronave Remotamente Pilotada - RPAS - Requisitos Técnicos","03/05/2017","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-94-002@@download/arquivo_norma/ISE94-002A.pdf"
"IS E94-001B","Rules","IS","Autorização de Projeto de Sistema de Aeronave Remotamente Pilotada - Procedimentos Gerais.","25/10/2019","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-e94-001@@download/arquivo_norma/ISE94-001B.pdf"
"IS E94-003A","Rules","IS","Procedimentos para elaboração e utilização de avaliação de risco operacional para operadores de aeronaves não tripuladas.","03/05/2017","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-e94-003@@download/arquivo_norma/ISE94-003A - Retificada.pdf"
"IS 91-001E","Rules","IS","Aprovação operacional de navegação baseada em desempenho (PBN).","26/05/2017","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-001@@download/arquivo_norma/IS91-001E.pdf"
"IS 145.109-001C","Rules","IS","Publicações técnicas: obtenção e controle pelas organizações de manutenção de produto aeronáutico.","16/06/2017","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-145-109-001@@download/arquivo_norma/IS145.109-001C.pdf"
"IS 142-001A","Rules","IS","Instruções e procedimentos para certificação de um Centro de Treinamento de Aviação Civil ou alterações de suas respectivas Especificações de Treinamento. ","11/07/2014","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-142-001@@download/arquivo_norma/IS 142-001A.pdf"
"IS 119-000A","Rules","IS","Processo de certificação de empresa de transporte aéreo regida pelo RBAC nº 135.","29/09/2017","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-119-000@@download/arquivo_norma/IS119-000A.pdf"
"IS 135-004A","Rules","IS","Procedimentos para credenciamento de comissário de voo como examinador em operador sob o RBAC nº 135.","29/09/2017","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-135-004@@download/arquivo_norma/IS135-004A.pdf"
"IS 20-003A","Rules","IS","Extintores de incêndio portáteis.","30/05/2014","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-20-003@@download/arquivo_norma/IS20-003A.pdf"
"IS 21.17-2A","Rules","IS","Certificação de aeronavegabilidade de planadores e motoplanadores. ","05/10/2012","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-21-17-2@@download/arquivo_norma/IS 21.17-2A.pdf"
"IS 21.191-001A","Rules","IS","Aeronaves de construção amadora.","04/06/2012","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-21-191-001@@download/arquivo_norma/IS21.191-001A.pdf"
"IS 23-002A","Rules","IS","Aviões categoria normal, utilidade, acrobática e transporte regional, modificados para transporte de carga. (Arquivo substituído em 24 de outubro de 2012 - Retificação DOU 24/20/2012).","06/08/2010","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-23-002@@download/arquivo_norma/IS 23-002A.pdf"
"IS 43-001A","Rules","IS","Elegibilidade, qualidade e identificação de peças de reposição.","12/05/2009","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-43-001@@download/arquivo_norma/IS_43-001A.pdf"
"IS 43.9-003B","Rules","IS","Caderneta de célula, de motor e de hélice.","28/02/2020","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-43-9-003@@download/arquivo_norma/IS43.9-003B.pdf"
"IS 43.13-005A","Rules","IS","Ferramentas especiais.","27/08/2013","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-43-13-005@@download/arquivo_norma/IS43.13-005A.pdf"
"IS 43.13-003C","Rules","IS","Ensaios não destrutivos na manutenção de produto aeronáutico.","27/09/2013","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-43-13-003@@download/arquivo_norma/IS43.13-003C.pdf"
"IS 67-001A","Rules","IS","Procedimentos para reconhecimento de Curso Básico de Perícia Médica na Aviação Civil.","17/02/2012","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-67-001@@download/arquivo_norma/IS67-001A.pdf"
"IS 67-002B","Rules","IS","Instruções para obtenção e revalidação de um Certificado Médico Aeronáutico (CMA).","22/05/2015","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-67-002@@download/arquivo_norma/IS67-002B.pdf"
"IS 67-004B","Rules","IS","Guia médico - meios aceitáveis de cumprimento do RBAC nº 67.","04/05/2020","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-67-004@@download/arquivo_norma/IS67-004B.pdf"
"IS 91-003A","Rules","IS","Aprovação operacional para aproximações ILS CAT I com autorização requerida e decolagens com baixa visibilidade mediante o emprego do Head Up Guidance System (HGS). ","18/10/2015","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-003@@download/arquivo_norma/IS91-003A.pdf"
"IS 21.191-002A","Rules","IS","Aeronaves históricas.","23/12/2011","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-21-191-002@@download/arquivo_norma/IS 21.191-002A.pdf"
"IS 91.21-001A","Rules","IS","Utilização de dispositivos eletrônicos portáteis.","30/10/2014","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-21-001@@download/arquivo_norma/IS9121-001A.PDF"
"IS 91.409-001B","Rules","IS","Manutenção de aeronaves, tempo recomendado entre as revisões gerais.","14/09/2020","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-409-001@@download/arquivo_norma/IS91.409-001B.pdf"
"IS 110-001A","Rules","IS","Processo de autorização de centros de instrução e Manual de Procedimentos do Centro de Instrução (MPCI).","29/10/2015","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-110-001@@download/arquivo_norma/IS110-001A.pdf"
"IS 119-002D","Rules","IS","Guia para a elaboração de SGSO de empresa aérea certificada de acordo com o RBAC 119.","09/11/2012","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-119-002@@download/arquivo_norma/IS 119-002D.pdf"
"IS 119-003A","Rules","IS","Procedimentos para elaboração e utilização de Manual de Procedimentos Operacionais Padronizados (SOP). ","17/05/2013","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-119-003@@download/arquivo_norma/IS119-003A.pdf"
"IS 120-001B","Rules","IS","Programa de manutenção de empresas de transporte aéreo.","03/01/2014","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-120-001@@download/arquivo_norma/IS120-001B.pdf"
"IS 121-001B","Rules","IS","Procedimentos para elaboração, revisão e utilização do guia de rota.","22/01/2021","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-121-001@@download/arquivo_norma/IS121-001B.pdf"
"IS 121.1225-001A","Rules","IS","Programa de reporte voluntário de empresa aérea certificada de acordo com o RBAC nº 121. ","18/07/2014","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-121-1225-001@@download/arquivo_norma/IS121.1225-001A.pdf"
"IS 137-003A","Rules","IS","Processo de certificação de empresa aeroagrícola","26/06/2015","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-137-003@@download/arquivo_norma/IS137-003A.pdf"
"IS 137.201-001C","Rules","IS","Uso de etanol em aeronaves agrícolas.","07/08/2021","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-137-201-001@@download/arquivo_norma/IS137.201-001C.pdf"
"IS 135.21-001A","Rules","IS","Instruções para elaboração do Manual Geral de Manutenção (MGM) - táxis aéreos operando exclusivamente aeronaves com configuração máxima para passageiros igual ou inferior a 9 (nove) assentos.","17/08/2012","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-135-21-001@@download/arquivo_norma/IS 135.21-001A.pdf"
"IS 141-001C","Rules","IS","Procedimentos para comunicação da relação de alunos de cursos homologados em escolas de aviação civil. ","26/06/2015","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-141-001@@download/arquivo_norma/IS141-001C.pdf"
"IS 145-003B","Rules","IS","Situações em que deve ocorrer a análise e aceitação dos Manuais de Procedimentos de Inspeção (MPI) de empresas certificadas RBHA 145.","27/07/2012","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-145-003@@download/arquivo_norma/IS 145-003B.pdf"
"IS 145-010B","Rules","IS","Programa de Treinamento em Organizações de Manutenção.","24/01/2020","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-145-010@@download/arquivo_norma/IS145-010B.pdf"
"IS 145.163-001A","Rules","IS","Qualificação e Autorização em Ensaios não destrutivos na manutenção de produto aeronáutico ","27/09/2013","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-145-163-001@@download/arquivo_norma/IS145.163-001A.pdf"
"IS 153-109B","Rules","IS","Sistema de Orientação e Controle da Movimentação no Solo - SOCMS.","06/03/2020","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-153-109@@download/arquivo_norma/IS153-109B.pdf, https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-153-109@@download/anexo_norma/SOCMS.docx"
"IS 161.55-001A","Rules","IS","Projeto de Monitoramento de Ruído","31/05/2013","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-161-55-001@@download/arquivo_norma/IS161.55-001A.pdf"
"IS 164-001A","Rules","IS","Análise do risco de colisão entre aeronaves e fauna.","31/07/2015","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-164-001@@download/arquivo_norma/IS164-001A.pdf"
"IS 121-002A","Rules","IS","Examinadores credenciados no âmbito dos operadores aéreos regidos pelo RBAC nº 121.","15/12/2017","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-121-002@@download/arquivo_norma/IS121-002A.pdf"
"IS 00-007A","Rules","IS","Avaliação Operacional de Aeronaves.","15/12/2017","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-00-007@@download/arquivo_norma/IS00-007A.pdf"
"IS 141-003A","Rules","IS","Currículo mínimo para a formação teórica e prática do Despachante Operacional de Voo (DOV).","22/12/2017","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-141-003@@download/arquivo_norma/IS141-003A.pdf"
"IS 121-003A","Rules","IS","Procedimentos para a elaboração dos procedimentos operacionais padronizados (SOP) de operadores certificados sob o RBAC n º 121.","19/01/2018","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-121-003@@download/arquivo_norma/IS121-003A.pdf"
"IS 121-004A","Rules","IS","Procedimentos para a elaboração do Manual de Operações da Aeronave (Aircraft Operating Manual - AOM) por operadores certificados sob o RBAC nº 121.","19/01/2018","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-121-004@@download/arquivo_norma/IS121-004A.pdf"
"IS 121-005D","Rules","IS","Procedimentos para elaboração, revisão e utilização do Manual Geral de Operações (MGO) de operadores aéreos regidos pelo RBAC nº 121.","22/01/2021","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-121-005@@download/arquivo_norma/IS121-005D.pdf"
"IS 142-002C","Rules","IS","Procedimentos para validação de centro de treinamento de aviação civil estrangeiro.","26/01/2018","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-142-002@@download/arquivo_norma/IS142-002C.pdf"
"IS 119-005A","Rules","IS","Programa de degelo e antigelo no solo.","09/02/2018","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-119-005@@download/arquivo_norma/IS119-005A.pdf"
"IS 00-006C","Rules","IS","Procedimentos para interposição de recurso sobre indeferimento de solicitação de licença, certificado ou habilitação emitidos sob o RBAC nº 61, RBHA 63 ou RBHA 65.","30/04/2020","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-00-006@@download/arquivo_norma/IS00-006C.pdf"
"IS 67-005B","Rules","IS","Procedimentos administrativos para credenciamento e revalidação de credenciamento de médicos, clínicas e convênio com entidades.","09/03/2018","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-67-005@@download/arquivo_norma/IS67-005B.pdf"
"IS 129-001B","Rules","IS","Procedimentos relativos a operação de empresas estrangeiras de transporte aéreo público no Brasil.","09/03/2018","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-129-001@@download/arquivo_norma/IS129-001B.pdf"
"IS 00-001B","Rules","IS","Sistema de Dificuldades em Serviço.","13/03/2018","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-00-001@@download/arquivo_norma/IS00-001B.pdf"
"IS 121-006C","Rules","IS","Procedimentos gerais para elaboração, aprovação, revisão e utilização de programas de treinamento operacional (PTO) de operadores aéreos regidos pelo RBAC nº 121.","19/02/2021","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-121-006@@download/arquivo_norma/IS121-006C.pdf"
"IS 121-008A","Rules","IS","Procedimentos para elaboração de programa de treinamento operacional de despachantes operacionais de voo segundo o RBAC nº 121.","23/02/2018","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-121-008@@download/arquivo_norma/IS121-008A.pdf"
"IS 39-001C","Rules","IS","Diretrizes de Aeronavegabilidade.","02/08/2019","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-39-001@@download/arquivo_norma/IS39-001C.pdf"
"IS 121-009A","Rules","IS","Conteúdo aceitável dos conjuntos de sobrevivência para operações sob o RBAC nº 121 sobre grandes extensões de água e sobre terreno desabitado.","09/05/2018","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-121-009@@download/arquivo_norma/IS121-009A.pdf"
"IS 91-006A","Rules","IS","Procedimentos para a aprovação de operações no Espaço Aéreo NAT – HLA (North Atlantic High Level Airspace).","11/05/2018","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-006@@download/arquivo_norma/IS 91-006A.pdf"
"IS 119-006A","Rules","IS","Operação de aeronaves sob contratos de intercâmbio. ","11/05/2018","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-119-006@@download/arquivo_norma/IS 119-006A.pdf"
"IS 145.214-001B","Rules","IS","Sistema de Gerenciamento da Segurança Operacional em Organizações de Manutenção de Produto Aeronáutico.","08/06/2018","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-145-214-001@@download/arquivo_norma/IS145.214-001B.pdf"
"IS 91-008A","Rules","IS","Procedimentos para realização de evento aeronáutico.","19/06/2018","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-91-008@@download/arquivo_norma/IS91-008A.pdf"
"IS 183-004A","Rules","IS","Credenciamento de associações aerodesportivas pela ANAC.","19/06/2018","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-183-004@@download/arquivo_norma/ IS183-004A.pdf"
"IS 154.5-001A","Rules","IS","Orientações para a elaboração de análise de risco com vistas à demonstração de nível aceitável de segurança operacional.","04/07/2018","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-154-5-001@@download/arquivo_norma/IS154.5-001A.pdf"
"IS 121-010A","Rules","IS","Sistema de documentos de segurança operacional.","06/07/2018","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-121-010@@download/arquivo_norma/IS121-010A.pdf"
"IS 00-004H","Rules","IS","Diretrizes Interpretativas aplicáveis às normas de âmbito da Superintendência de Padrões Operacionais.","09/04/2021","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-00-004@@download/arquivo_norma/IS00-004H.pdf"
"IS 175-003D","Rules","IS","Instruções para preenchimento completo e adequado do Conhecimento de Transporte eletrônico - CT-e - e do Manifesto de Documentos Fiscais eletrônico - MDF-e.","17/03/2021","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-175-003@@download/arquivo_norma/IS175-003D.pdf"
"IS 175-008C","Rules","IS","Orientações para solicitação e obtenção de aprovação (approval) e isenção (exemption) para transporte de artigos perigosos por via aérea.","17/03/2021","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-175-008@@download/arquivo_norma/IS175-008C.pdf"
"IS 175-009B","Rules","IS","Instruções para preenchimento e envio do Relatório de Transporte de Artigos Perigosos à ANAC.","17/03/2021","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-175-009@@download/arquivo_norma/IS175-009B.pdf"
"IS 61-007A","Rules","IS","Procedimentos para trâmite de informações acerca da execução de um programa de treinamento operacional.","27/07/2018","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-61-007@@download/arquivo_norma/IS61-007A.pdf"
"IS 103-001B","Rules","IS","Operação de veículos ultraleves e balões livres tripulados sob o RBAC nº 103.","03/08/2018","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-103-001@@download/arquivo_norma/IS103-001B.pdf"
"IS 65-001C","Rules","IS","Procedimentos para concessão de licença e de habilitação e para recadastramento de mecânicos de manutenção aeronáutica.","05/09/2019","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-65-001@@download/arquivo_norma/IS65-001C.pdf"
"IS 183-002E","Rules","IS","Processo de Credenciamento de Pessoa Física na SAR e orientações de atuação para os Profissionais Credenciados.","17/07/2020","Dados abertos ANAC","https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-183-002@@download/arquivo_norma/IS183-002E.pdf"
